cve_entidad,desc_entidad,cve_municipio,desc_municipio,id_indicador,indicador,año,valor,unidad_medida
22,Querétaro,0,Estatal,1001000001,Superficie continental,2020,11690.58135803,Kilómetros cuadrados
22,Querétaro,0,Estatal,1002000001,Población total,1910,244663,Personas
22,Querétaro,0,Estatal,1002000001,Población total,1921,220231,Personas
22,Querétaro,0,Estatal,1002000001,Población total,1930,234058,Personas
22,Querétaro,0,Estatal,1002000001,Población total,1940,244737,Personas
22,Querétaro,0,Estatal,1002000001,Población total,1950,286238,Personas
22,Querétaro,0,Estatal,1002000001,Población total,1960,355045,Personas
22,Querétaro,0,Estatal,1002000001,Población total,1970,485523,Personas
22,Querétaro,0,Estatal,1002000001,Población total,1980,739605,Personas
22,Querétaro,0,Estatal,1002000001,Población total,1990,1051235,Personas
22,Querétaro,0,Estatal,1002000001,Población total,1995,1250476,Personas
22,Querétaro,0,Estatal,1002000001,Población total,2000,1404306,Personas
22,Querétaro,0,Estatal,1002000001,Población total,2005,1598139,Personas
22,Querétaro,0,Estatal,1002000001,Población total,2010,1827937,Personas
22,Querétaro,0,Estatal,1002000001,Población total,2015,2043851,Personas
22,Querétaro,0,Estatal,1002000001,Población total,2020,2368467,Personas
22,Querétaro,0,Estatal,1002000002,Población total hombres,1995,615484,Personas
22,Querétaro,0,Estatal,1002000002,Población total hombres,2000,680966,Personas
22,Querétaro,0,Estatal,1002000002,Población total hombres,2005,772759,Personas
22,Querétaro,0,Estatal,1002000002,Población total hombres,2010,887188,Personas
22,Querétaro,0,Estatal,1002000002,Población total hombres,2020,1156820,Personas
22,Querétaro,0,Estatal,1002000003,Población total mujeres,1995,634992,Personas
22,Querétaro,0,Estatal,1002000003,Población total mujeres,2000,723340,Personas
22,Querétaro,0,Estatal,1002000003,Población total mujeres,2005,825380,Personas
22,Querétaro,0,Estatal,1002000003,Población total mujeres,2010,940749,Personas
22,Querétaro,0,Estatal,1002000003,Población total mujeres,2020,1211647,Personas
22,Querétaro,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,1995,30.4,No especificada
22,Querétaro,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2000,29.5,No especificada
22,Querétaro,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2005,28.3,No especificada
22,Querétaro,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2010,28,No especificada
22,Querétaro,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2015,27.2738244049663,No especificada
22,Querétaro,0,Estatal,1002000004,Porcentaje de población de 15 a 29 años,2020,26.308760468877,No especificada
22,Querétaro,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,1995,29.8,No especificada
22,Querétaro,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2000,28.7,No especificada
22,Querétaro,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2005,27.6,No especificada
22,Querétaro,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2010,27.9,No especificada
22,Querétaro,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2015,13.449311509381,No especificada
22,Querétaro,0,Estatal,1002000005,Porcentaje de hombres de 15 a 29 años,2020,26.8532711414749,No especificada
22,Querétaro,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,1995,31,No especificada
22,Querétaro,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2000,30.2,No especificada
22,Querétaro,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2005,29,No especificada
22,Querétaro,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2010,28.2,No especificada
22,Querétaro,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2015,13.8245128955853,No especificada
22,Querétaro,0,Estatal,1002000006,Porcentaje de mujeres de 15 a 29 años,2020,25.7889479011739,No especificada
22,Querétaro,0,Estatal,1002000007,Porcentaje de población de 60 y más años,1995,5.5,No especificada
22,Querétaro,0,Estatal,1002000007,Porcentaje de población de 60 y más años,2000,6,No especificada
22,Querétaro,0,Estatal,1002000007,Porcentaje de población de 60 y más años,2005,6.8,No especificada
22,Querétaro,0,Estatal,1002000007,Porcentaje de población de 60 y más años,2010,7.5,No especificada
22,Querétaro,0,Estatal,1002000007,Porcentaje de población de 60 y más años,2015,8.56919149203384,No especificada
22,Querétaro,0,Estatal,1002000007,Porcentaje de población de 60 y más años,2020,10.1718168241347,No especificada
22,Querétaro,0,Estatal,1002000008,Porcentaje de hombres de 60 y más años,1995,5.2,No especificada
22,Querétaro,0,Estatal,1002000008,Porcentaje de hombres de 60 y más años,2000,5.8,No especificada
22,Querétaro,0,Estatal,1002000008,Porcentaje de hombres de 60 y más años,2005,6.5,No especificada
22,Querétaro,0,Estatal,1002000008,Porcentaje de hombres de 60 y más años,2010,7.1,No especificada
22,Querétaro,0,Estatal,1002000008,Porcentaje de hombres de 60 y más años,2015,3.95393971267266,No especificada
22,Querétaro,0,Estatal,1002000008,Porcentaje de hombres de 60 y más años,2020,9.51960257321704,No especificada
22,Querétaro,0,Estatal,1002000009,Porcentaje de mujeres de 60 y más años,1995,5.7,No especificada
22,Querétaro,0,Estatal,1002000009,Porcentaje de mujeres de 60 y más años,2000,6.3,No especificada
22,Querétaro,0,Estatal,1002000009,Porcentaje de mujeres de 60 y más años,2005,7.1,No especificada
22,Querétaro,0,Estatal,1002000009,Porcentaje de mujeres de 60 y más años,2010,7.9,No especificada
22,Querétaro,0,Estatal,1002000009,Porcentaje de mujeres de 60 y más años,2015,4.61525177936118,No especificada
22,Querétaro,0,Estatal,1002000009,Porcentaje de mujeres de 60 y más años,2020,10.7944477137085,No especificada
22,Querétaro,0,Estatal,1002000010,Edad mediana,1995,20,Años
22,Querétaro,0,Estatal,1002000010,Edad mediana,2000,21,Años
22,Querétaro,0,Estatal,1002000010,Edad mediana,2005,23,Años
22,Querétaro,0,Estatal,1002000010,Edad mediana,2010,25,Años
22,Querétaro,0,Estatal,1002000010,Edad mediana,2015,25.88525,Años
22,Querétaro,0,Estatal,1002000010,Edad mediana,2020,29,Años
22,Querétaro,0,Estatal,1002000011,Edad mediana hombres,1995,19,Años
22,Querétaro,0,Estatal,1002000011,Edad mediana hombres,2000,20,Años
22,Querétaro,0,Estatal,1002000011,Edad mediana hombres,2005,22,Años
22,Querétaro,0,Estatal,1002000011,Edad mediana hombres,2010,24,Años
22,Querétaro,0,Estatal,1002000011,Edad mediana hombres,2020,28,Años
22,Querétaro,0,Estatal,1002000012,Edad mediana mujeres,1995,20,Años
22,Querétaro,0,Estatal,1002000012,Edad mediana mujeres,2000,22,Años
22,Querétaro,0,Estatal,1002000012,Edad mediana mujeres,2005,24,Años
